date,weight_kg,day
2025-02-25,85.0,2025-02-25
2025-03-02,85.5,2025-03-02
2025-03-07,84.6,2025-03-07
2025-03-10,85.2,2025-03-10
2025-04-01,86.6,2025-04-01
2025-04-10,87.9,2025-04-10
2025-04-11,88.6,2025-04-11
2025-04-21,87.4,2025-04-21
2025-04-22,87.6,2025-04-22
2025-04-23,87.1,2025-04-23
2025-04-24,87.1,2025-04-24
2025-04-25,87.6,2025-04-25
2025-04-26,87.0,2025-04-26
2025-04-27,87.8,2025-04-27
2025-04-28,87.3,2025-04-28
2025-04-29,87.7,2025-04-29
2025-04-30,87.8,2025-04-30
2025-05-01,87.1,2025-05-01
2025-05-02,86.4,2025-05-02
2025-05-04,86.9,2025-05-04
2025-05-05,87.5,2025-05-05
2025-05-06,87.3,2025-05-06
2025-05-07,87.7,2025-05-07
2025-05-08,86.7,2025-05-08
2025-05-09,86.7,2025-05-09
2025-05-10,87.0,2025-05-10
2025-05-11,88.3,2025-05-11
2025-05-12,87.3,2025-05-12
2025-05-13,86.8,2025-05-13
2025-05-14,88.5,2025-05-14
2025-05-15,86.4,2025-05-15
2025-05-16,87.3,2025-05-16
2025-05-17,87.0,2025-05-17
2025-05-19,87.8,2025-05-19
2025-05-20,87.5,2025-05-20
2025-05-21,88.0,2025-05-21
2025-05-22,87.9,2025-05-22
2025-05-23,88.2,2025-05-23
2025-05-24,87.5,2025-05-24
2025-05-25,90.5,2025-05-25
2025-05-28,92.6,2025-05-28
2025-05-30,88.6,2025-05-30
2025-05-31,88.7,2025-05-31
2025-06-01,90.4,2025-06-01
2025-06-08,89.0,2025-06-08
2025-06-09,90.3,2025-06-09
2025-06-10,87.8,2025-06-10
2025-06-12,89.0,2025-06-12
2025-06-14,87.4,2025-06-14
2025-06-15,87.8,2025-06-15
2025-06-16,88.8,2025-06-16
2025-06-17,88.5,2025-06-17
2025-06-18,88.5,2025-06-18
2025-06-19,88.0,2025-06-19
2025-06-21,89.4,2025-06-21
2025-06-28,88.7,2025-06-28
2025-07-02,87.7,2025-07-02
2025-07-03,87.5,2025-07-03
2025-07-04,87.3,2025-07-04
2025-07-06,87.3,2025-07-06
2025-07-09,86.8,2025-07-09
2025-07-14,86.8,2025-07-14
2025-07-16,86.5,2025-07-16
2025-07-17,86.6,2025-07-17
2025-07-18,88.7,2025-07-18
2025-07-19,86.3,2025-07-19
2025-07-20,87.6,2025-07-20
2025-07-21,88.7,2025-07-21
2025-07-22,87.9,2025-07-22
2025-07-23,87.7,2025-07-23
2025-07-24,87.8,2025-07-24
2025-07-25,88.0,2025-07-25
2025-07-26,87.8,2025-07-26
2025-07-27,87.7,2025-07-27
2025-07-28,87.5,2025-07-28
2025-08-01,88.1,2025-08-01
2025-08-03,87.6,2025-08-03
2025-08-05,88.2,2025-08-05
2025-08-06,86.9,2025-08-06
2025-08-23,89.0,2025-08-23
2025-08-24,88.3,2025-08-24
2025-08-30,88.3,2025-08-30
2025-09-01,88.5,2025-09-01
2025-09-03,87.1,2025-09-03
2025-09-04,87.3,2025-09-04
2025-09-07,87.4,2025-09-07
2025-09-10,86.6,2025-09-10
2025-09-12,87.0,2025-09-12
2025-09-15,89.1,2025-09-15
2025-09-23,86.6,2025-09-23
2025-09-26,86.3,2025-09-26
2025-09-27,86.5,2025-09-27
2025-09-28,87.6,2025-09-28
2025-09-30,86.6,2025-09-30
2025-10-01,87.0,2025-10-01
2025-10-02,87.0,2025-10-02
2025-10-08,86.3,2025-10-08
2025-10-10,86.1,2025-10-10
2025-10-14,86.6,2025-10-14
2025-10-15,86.8,2025-10-15
2025-10-16,87.1,2025-10-16
2025-10-23,87.5,2025-10-23
2025-10-24,87.0,2025-10-24
2025-10-27,86.0,2025-10-27
2025-10-29,86.6,2025-10-29
2025-10-31,86.7,2025-10-31
2025-11-02,87.8,2025-11-02
2025-11-06,86.5,2025-11-06
2025-11-22,86.8,2025-11-22
2025-11-23,86.9,2025-11-23
2025-11-26,86.6,2025-11-26
2025-12-05,87.2,2025-12-05
2025-12-09,87.6,2025-12-09
2026-01-08,88.5,2026-01-08
