day,workout_title,duration_seconds,exercise,muscle_group,weight_kg,reps,volume,set_type
2025-03-10,Upper A,0,Chest Dip (Assisted),chest,14.0,8,112.0,normal
2025-03-10,Upper A,0,Iso-Lateral Chest Press (Machine),chest,65.0,6,390.0,normal
2025-03-10,Upper A,0,Iso-Lateral Chest Press (Machine),chest,65.0,6,390.0,normal
2025-03-10,Upper A,0,Iso-Lateral Chest Press (Machine),chest,65.0,6,390.0,normal
2025-03-10,Upper A,0,Iso-Lateral Chest Press (Machine),chest,65.0,6,390.0,normal
2025-03-10,Upper A,0,Pull Up (Assisted),lats,21.0,6,126.0,normal
2025-03-10,Upper A,0,Pull Up (Assisted),lats,21.0,6,126.0,normal
2025-03-10,Upper A,0,Pull Up (Assisted),lats,21.0,6,126.0,normal
2025-03-10,Upper A,0,Pull Up (Assisted),lats,21.0,6,126.0,normal
2025-03-10,Upper A,0,Seated Shoulder Press (Machine),shoulders,55.0,7,385.0,normal
2025-03-10,Upper A,0,Seated Shoulder Press (Machine),shoulders,55.0,7,385.0,normal
2025-03-10,Upper A,0,Seated Shoulder Press (Machine),shoulders,55.0,7,385.0,normal
2025-03-10,Upper A,0,Chest Dip (Assisted),chest,14.0,8,112.0,normal
2025-03-10,Upper A,0,Butterfly (Pec Deck),chest,50.0,12,600.0,normal
2025-03-10,Upper A,0,Seated Shoulder Press (Machine),shoulders,55.0,3,165.0,normal
2025-03-10,Upper A,0,Rope Cable Curl,biceps,20.0,12,240.0,normal
2025-03-10,Upper A,0,Rope Cable Curl,biceps,20.0,12,240.0,normal
2025-03-10,Upper A,0,Rope Cable Curl,biceps,20.0,12,240.0,normal
2025-03-10,Upper A,0,Seated Cable Row - Bar Grip,upper_back,55.0,7,385.0,normal
2025-03-10,Upper A,0,Chest Dip (Assisted),chest,14.0,8,112.0,normal
2025-03-10,Upper A,0,Seated Cable Row - Bar Grip,upper_back,55.0,7,385.0,normal
2025-03-10,Upper A,0,Seated Cable Row - Bar Grip,upper_back,55.0,6,330.0,normal
2025-03-10,Upper A,0,Butterfly (Pec Deck),chest,50.0,10,500.0,normal
2025-03-10,Upper A,0,Butterfly (Pec Deck),chest,50.0,12,600.0,normal
2025-03-10,Upper A,0,Seated Cable Row - Bar Grip,upper_back,55.0,7,385.0,normal
2025-03-11,Lower A,0,Romanian Deadlift (Dumbbell),hamstrings,52.0,8,416.0,normal
2025-03-11,Lower A,0,Leg Press (Machine),quadriceps,120.0,7,840.0,normal
2025-03-11,Lower A,0,Leg Press (Machine),quadriceps,160.0,7,1120.0,normal
2025-03-11,Lower A,0,Leg Press (Machine),quadriceps,160.0,7,1120.0,normal
2025-03-11,Lower A,0,Leg Press (Machine),quadriceps,160.0,7,1120.0,normal
2025-03-11,Lower A,0,Leg Press (Machine),quadriceps,160.0,8,1280.0,normal
2025-03-11,Lower A,0,Romanian Deadlift (Dumbbell),hamstrings,52.0,8,416.0,normal
2025-03-11,Lower A,0,Romanian Deadlift (Dumbbell),hamstrings,52.0,8,416.0,normal
2025-03-11,Lower A,0,Romanian Deadlift (Dumbbell),hamstrings,52.0,8,416.0,normal
2025-03-11,Lower A,0,Calf Extension (Machine),calves,130.0,15,1950.0,normal
2025-03-11,Lower A,0,Calf Extension (Machine),calves,130.0,15,1950.0,normal
2025-03-11,Lower A,0,Calf Extension (Machine),calves,130.0,15,1950.0,normal
2025-03-11,Lower A,0,Leg Extension (Machine),quadriceps,65.0,8,520.0,normal
2025-03-11,Lower A,0,Leg Extension (Machine),quadriceps,65.0,8,520.0,normal
2025-03-11,Lower A,0,Leg Extension (Machine),quadriceps,65.0,8,520.0,normal
2025-03-11,Lower A,0,Leg Extension (Machine),quadriceps,65.0,8,520.0,normal
2025-03-11,Lower A,0,Hip Abduction (Machine),abductors,40.0,12,480.0,normal
2025-03-11,Lower A,0,Hip Abduction (Machine),abductors,40.0,12,480.0,normal
2025-03-11,Lower A,0,Hip Abduction (Machine),abductors,40.0,12,480.0,normal
2025-03-11,Lower A,0,Crunch (Machine),abdominals,40.0,12,480.0,normal
2025-03-11,Lower A,0,Crunch (Machine),abdominals,40.0,12,480.0,normal
2025-03-11,Lower A,0,Crunch (Machine),abdominals,40.0,12,480.0,normal
2025-03-13,Upper B,0,Single Arm Lat Pulldown,lats,30.0,8,240.0,normal
2025-03-13,Upper B,0,Single Arm Lat Pulldown,lats,30.0,8,240.0,normal
2025-03-13,Upper B,0,Lateral Raise (Dumbbell),shoulders,14.0,8,112.0,normal
2025-03-13,Upper B,0,Lateral Raise (Dumbbell),shoulders,14.0,8,112.0,normal
2025-03-13,Upper B,0,Lateral Raise (Dumbbell),shoulders,14.0,8,112.0,normal
2025-03-13,Upper B,0,Incline Bench Press (Dumbbell),chest,44.0,8,352.0,normal
2025-03-13,Upper B,0,Incline Bench Press (Dumbbell),chest,44.0,8,352.0,normal
2025-03-13,Upper B,0,Incline Bench Press (Dumbbell),chest,44.0,8,352.0,normal
2025-03-13,Upper B,0,Incline Bench Press (Dumbbell),chest,44.0,8,352.0,normal
